,Zipcode,City,State,Latitude,Longitude
193,01812,andover,ma,42.647191,-71.184202
194,01899,andover,ma,42.635443,-70.87912299999999
195,05501,andover,ma,42.647191,-71.184202
196,05544,andover,ma,42.647191,-71.184202
197,01430,ashburnham,ma,42.6362,-71.90785
198,01431,ashby,ma,42.67787,-71.82035
199,01721,ashland,ma,42.26121,-71.4634
200,01501,auburn,ma,42.20361,-71.83843
201,02322,avon,ma,42.121932,-71.04522
202,01432,ayer,ma,42.5591,-71.5788
203,01434,devens,ma,42.53,-71.61
205,01436,baldwinville,ma,42.60842,-72.07591
206,02630,barnstable,ma,41.70011,-70.29947
207,01730,bedford,ma,42.49065,-71.27617
208,01731,hanscom afb,ma,42.45813,-71.27605
210,02019,bellingham,ma,42.075122,-71.47953000000001
211,01503,berlin,ma,42.3812,-71.63701
212,01915,beverly,ma,42.55843,-70.88005
213,01821,billerica,ma,42.54805,-71.25054
214,01822,billerica,ma,42.446396,-71.459405
215,01504,blackstone,ma,42.028147,-71.52999
216,01740,bolton,ma,42.43343,-71.60784
217,02108,boston,ma,42.35843,-71.05977
218,02109,boston,ma,42.35843,-71.05977
219,02110,boston,ma,42.35843,-71.05977
220,02111,boston,ma,42.35843,-71.05977
221,02112,boston,ma,42.338947,-70.919635
222,02113,boston,ma,42.35843,-71.05977
223,02114,boston,ma,42.35843,-71.05977
224,02115,boston,ma,42.34308,-71.09268
225,02116,boston,ma,42.349622,-71.07372
226,02117,boston,ma,42.35843,-71.05977
227,02118,boston,ma,42.338724,-71.07276
229,02119,boston,ma,42.324511,-71.08455
231,02120,boston,ma,42.332099,-71.09651
236,02121,boston,ma,42.307448,-71.08126999999999
239,02122,boston,ma,42.296298,-71.05454
241,02123,boston,ma,42.338947,-70.919635
242,02124,boston,ma,42.28713,-71.07155999999999
246,02125,boston,ma,42.316852000000004,-71.05811
249,02126,mattapan,ma,42.27232,-71.087
251,02127,boston,ma,42.334990000000005,-71.04562
253,02128,boston,ma,42.35843,-71.05977
255,02129,charlestown,ma,42.37787,-71.062
257,02130,jamaica plain,ma,42.30982,-71.12033
259,02131,roslindale,ma,42.29121,-71.1245
261,02132,west roxbury,ma,42.28106,-71.16385
263,02133,boston,ma,42.338947,-70.919635
264,02134,allston,ma,42.35843,-71.12589
266,02135,brighton,ma,42.3501,-71.15644
268,02136,hyde park,ma,42.25565,-71.1245
271,02137,readville,ma,42.338947,-70.919635
274,02163,boston,ma,42.35843,-71.05977
276,02196,boston,ma,42.338947,-70.919635
277,02199,boston,ma,42.34713,-71.08234
278,02201,boston,ma,42.338947,-70.919635
279,02203,boston,ma,42.35843,-71.05977
280,02204,boston,ma,42.338947,-70.919635
281,02205,boston,ma,42.350334000000004,-71.053877
282,02206,boston,ma,42.338947,-70.919635
283,02210,boston,ma,42.347974,-71.04463
284,02211,boston,ma,42.338947,-70.919635
285,02212,boston,ma,42.446396,-71.459405
286,02215,boston,ma,42.346996999999995,-71.10215
287,02217,boston,ma,42.338947,-70.919635
288,02222,boston,ma,42.367796999999996,-71.06282
289,02228,east boston,ma,42.35,-71.06
291,02241,boston,ma,42.338947,-70.919635
292,02266,boston,ma,42.338947,-70.919635
293,02283,boston,ma,42.338947,-70.919635
294,02284,boston,ma,42.338947,-70.919635
295,02293,boston,ma,42.338947,-70.919635
296,02295,boston,ma,42.338947,-70.919635
297,02297,boston,ma,42.338947,-70.919635
298,02298,boston,ma,42.34,-71.05
299,01921,boxford,ma,42.677869,-71.00844000000001
300,01505,boylston,ma,42.338392,-71.73026
301,02020,brant rock,ma,42.08621,-70.64115
302,02631,brewster,ma,41.76011,-70.0828
303,02324,bridgewater,ma,41.979501,-70.97215
304,02325,bridgewater,ma,41.99038,-70.97504
